,number,name,type1,type2,h,a,b,c,d,s,abi1,abi2,abi3,weight,single,double,generation
53,79_2,ヤドン(ガラル),エスパー,,90,65,65,40,40,15,くいしんぼう,マイペース,さいせいりょく,36,0,0,8
54,80_1,ヤドラン(通常),みず,エスパー,95,75,110,100,80,30,どんかん,マイペース,さいせいりょく,78.5,2,2,1
55,80_2,ヤドラン(ガラル),どく,エスパー,95,100,95,100,70,30,クイックドロウ,マイペース,さいせいりょく,70.5,2,2,8
56,81,コイル,でんき,はがね,25,35,70,95,55,45,じりょく,がんじょう,アナライズ,6,0,0,1
57,82,レアコイル,でんき,はがね,50,60,95,120,70,70,じりょく,がんじょう,アナライズ,60,0,0,1
58,88_1,ベトベター(通常),どく,,80,80,50,40,50,25,あくしゅう,ねんちゃく,どくしゅ,30,0,0,1
59,88_2,ベトベター(アローラ),どく,あく,80,80,50,40,50,25,どくしゅ,くいしんぼう,かがくのちから,42,0,0,7
60,89_1,ベトベトン(通常),どく,,105,105,75,65,100,50,あくしゅう,ねんちゃく,どくしゅ,30,1,1,1
61,89_2,ベトベトン(アローラ),どく,あく,105,105,75,65,100,50,どくしゅ,くいしんぼう,かがくのちから,52,1,1,7
62,90,シェルダー,みず,,30,65,100,45,25,40,シェルアーマー,スキルリンク,ぼうじん,4,0,0,1
63,91,パルシェン,みず,こおり,50,95,180,85,45,70,シェルアーマー,スキルリンク,ぼうじん,132.5,2,2,1
64,92,ゴース,ゴースト,どく,30,35,30,100,35,80,ふゆう,,,0.1,0,0,1
65,93,ゴースト,ゴースト,どく,45,50,45,115,55,95,ふゆう,,,0.1,0,0,1
66,94,ゲンガー,ゴースト,どく,60,65,60,130,75,110,のろわれボディ,,,40.5,3,2,1
67,96,スリープ,エスパー,,60,48,45,43,90,42,ふみん,よちむ,せいしんりょく,32.4,0,0,1
68,97,スリーパー,エスパー,,85,73,70,73,115,67,ふみん,よちむ,せいしんりょく,75.6,1,1,1
69,100_1,ビリリダマ(通常),でんき,,40,30,50,55,55,100,ぼうおん,せいでんき,ゆうばく,10.4,0,0,1
70,100_2,ビリリダマ(ヒスイ),でんき,くさ,40,30,50,55,55,100,ぼうおん,せいでんき,ゆうばく,13,0,0,8.5
71,101_1,マルマイン(通常),でんき,,60,50,70,80,80,150,ぼうおん,せいでんき,ゆうばく,66.6,1,1,1
72,101_2,マルマイン(ヒスイ),でんき,くさ,60,50,70,80,80,150,ぼうおん,せいでんき,ゆうばく,71,1,1,8.5
73,109,ドガース,どく,,40,65,95,60,45,35,ふゆう,かがくへんかガス,あくしゅう,1,0,0,1
74,110_1,マタドガス(通常),どく,,65,90,120,85,70,60,ふゆう,かがくへんかガス,あくしゅう,9.5,2,3,1
75,110_2,マタドガス(ガラル),どく,フェアリー,65,90,120,85,70,60,ふゆう,かがくへんかガス,ミストメイカー,16,3,3,8
76,113,ラッキー,ノーマル,,250,5,5,35,105,50,しぜんかいふく,てんのめぐみ,いやしのこころ,34.6,3,2,1
77,123,ストライク,むし,ひこう,70,110,80,55,80,105,むしのしらせ,テクニシャン,ふくつのこころ,56,1,1,1
78,128_1,ケンタロス(通常),ノーマル,,75,100,95,40,70,110,いかく,いかりのつぼ,ちからずく,88.4,1,1,1
79,128_2,ケンタロス(パルデア),かくとう,,75,110,105,30,70,100,いかく,いかりのつぼ,はんすう,115,1,1,9
80,128_3,ケンタロス(パルデア炎),かくとう,ほのお,75,110,105,30,70,100,いかく,いかりのつぼ,ちからずく,85,3,2,9
81,128_4,ケンタロス(パルデア水),かくとう,みず,75,110,105,30,70,100,いかく,いかりのつぼ,ちからずく,110,1,1,9
82,129,コイキング,みず,,20,10,55,15,20,80,すいすい,,びびり,10,0,0,1
83,130,ギャラドス,みず,ひこう,95,125,79,60,100,81,いかく,,じしんかじょう,235,3,4,1
84,132,メタモン,ノーマル,,48,48,48,48,48,48,じゅうなん,,かわりもの,4,1,1,1
85,133,イーブイ,ノーマル,,55,55,50,45,65,55,にげあし,てきおうりょく,きけんよち,6.5,0,0,1
86,134,シャワーズ,みず,,130,65,60,110,95,65,ちょすい,,うるおいボディ,29,2,2,1
87,135,サンダース,でんき,,65,65,60,110,95,130,ちくでん,,はやあし,24.5,1,1,1
88,136,ブースター,ほのお,,65,130,60,95,110,65,もらいび,,こんじょう,25,1,1,1
89,143,カビゴン,ノーマル,,160,110,65,65,110,30,めんえき,あついしぼう,くいしんぼう,460,4,3,1
90,144_1,フリーザー(通常),こおり,ひこう,90,85,100,95,125,85,プレッシャー,,ゆきがくれ,55.4,2,3,1
91,144_2,フリーザー(ガラル),エスパー,ひこう,90,85,85,125,100,95,かちき,,,50.9,2,2,8
92,145_1,サンダー(通常),でんき,ひこう,90,90,85,125,90,100,プレッシャー,,せいでんき,52.6,4,3,1
93,145_2,サンダー(ガラル),かくとう,ひこう,90,125,90,85,90,100,まけんき,,,58.2,2,2,8
94,146_1,ファイヤー(通常),ほのお,ひこう,90,100,90,125,85,90,プレッシャー,,ほのおのからだ,60,2,2,1
95,146_2,ファイヤー(ガラル),あく,ひこう,90,85,90,100,125,90,ぎゃくじょう,,,66,2,4,8
96,147,ミニリュウ,ドラゴン,,41,64,45,50,50,50,だっぴ,,ふしぎなうろこ,3.3,0,0,1
97,148,ハクリュー,ドラゴン,,61,84,65,70,70,70,だっぴ,,ふしぎなうろこ,16.5,0,0,1
98,149,カイリュー,ドラゴン,ひこう,91,134,95,100,100,80,せいしんりょく,,マルチスケイル,210,4,4,1
99,150,ミュウツー,エスパー,,106,110,90,154,90,130,プレッシャー,,きんちょうかん,122,0,0,1
100,151,ミュウ,エスパー,,100,100,100,100,100,100,シンクロ,,,4,0,0,1
101,155,ヒノアラシ,ほのお,,39,52,43,60,50,65,もうか,,もらいび,7.9,0,0,2
102,156,マグマラシ,ほのお,,58,64,58,80,65,80,もうか,,もらいび,19,0,0,2
103,157_1,バクフーン(通常),ほのお,,78,84,78,109,85,100,もうか,,もらいび,79.5,2,2,2
104,157_2,バクフーン(ヒスイ),ほのお,ゴースト,73,84,78,119,85,95,もうか,,おみとおし,69.8,2,3,8
105,161,オタチ,ノーマル,,35,46,34,35,45,20,にげあし,するどいめ,おみとおし,6,0,0,2
106,162,オオタチ,ノーマル,,85,76,64,45,55,90,にげあし,するどいめ,おみとおし,32.5,1,1,2
107,163,ホーホー,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,いろめがね,21.2,0,0,2
108,164,ヨルノズク,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,いろめがね,40.8,1,1,2
109,167,イトマル,むし,どく,40,60,40,40,40,30,むしのしらせ,ふみん,スナイパー,8.5,0,0,2
110,168,アリアドス,むし,どく,70,90,70,60,70,40,むしのしらせ,ふみん,スナイパー,33.5,1,1,2
111,172,ピチュー,でんき,,20,40,15,35,35,60,せいでんき,,ひらいしん,2,0,0,2
112,173,ピィ,フェアリー,,50,25,28,45,55,15,メロメロボディ,マジックガード,フレンドガード,3,0,0,2
113,174,ププリン,ノーマル,フェアリー,90,30,15,40,20,15,メロメロボディ,かちき,フレンドガード,1,0,0,2
114,179,メリープ,でんき,,55,40,40,65,45,35,せいでんき,,プラス,7.8,0,0,2
115,180,モココ,でんき,,70,55,55,80,60,45,せいでんき,,プラス,13.3,0,0,2
116,181,デンリュウ,でんき,,90,75,85,115,90,55,せいでんき,,プラス,61.5,1,1,2
117,183,マリル,みず,フェアリー,70,20,50,20,50,40,あついしぼう,ちからもち,そうしょく,8.5,0,0,2
118,184,マリルリ,みず,フェアリー,100,50,80,60,80,50,あついしぼう,ちからもち,そうしょく,28.5,4,2,2
119,185,ウソッキー,いわ,,70,100,115,30,65,30,がんじょう,いしあたま,びびり,38,1,1,2
120,186,ニョロトノ,みず,,90,75,75,90,100,70,ちょすい,しめりけ,あめふらし,33.9,2,4,2
121,187,ハネッコ,くさ,ひこう,35,35,40,35,55,50,ようりょくそ,リーフガード,すりぬけ,0.5,0,0,2
122,188,ポポッコ,くさ,ひこう,55,45,50,45,65,80,ようりょくそ,リーフガード,すりぬけ,1,0,0,2
123,189,ワタッコ,くさ,ひこう,75,55,70,55,95,110,ようりょくそ,リーフガード,すりぬけ,3,2,2,2
124,190,エイパム,のーまる,,55,70,55,40,55,85,にげあし,ものひろい,スキルリンク,11.5,0,0,2
125,191,ヒマナッツ,くさ,,30,30,30,30,30,30,ようりょくそ,サンパワー,はやおき,1.8,0,0,2
126,192,キマワリ,くさ,,75,75,55,105,85,30,ようりょくそ,サンパワー,はやおき,8.5,1,1,2
127,193,ヤンヤンマ,むし,ひこう,65,65,45,75,45,95,かそく,ふくがん,おみとおし,38,0,0,2
128,194_1,ウパー(通常),みず,じめん,55,45,45,25,25,15,しめりけ,ちょすい,てんねん,8.5,0,0,2
129,194_2,ウパー(パルデア),どく,じめん,55,45,45,25,25,15,どくのトゲ,ちょすい,てんねん,11,0,0,9
130,195,ヌオー,みず,じめん,95,85,85,65,65,35,しめりけ,ちょすい,てんねん,75,2,2,2
131,196,エーフィ,エスパー,,65,65,60,130,95,110,シンクロ,,マジックミラー,26.5,2,2,2
132,197,ブラッキー,あく,,95,65,110,60,130,65,シンクロ,,せいしんりょく,27,4,2,2
133,198,ヤミカラス,あく,ひこう,60,85,42,85,42,91,ふみん,きょううん,いたずらごころ,2.1,2,3,2
134,199_1,ヤドキング(通常),みず,エスパー,95,75,80,100,110,30,どんかん,マイペース,さいせいりょく,79.5,1,1,2
135,199_2,ヤドキング(ガラル),どく,エスパー,95,65,80,110,110,30,きみょうなくすり,マイペース,さいせいりょく,79.5,2,2,8
136,200,ムウマ,ゴースト,,60,60,60,85,85,85,ふゆう,,,1,0,0,2
137,203,キリンリキ,ノーマル,エスパー,70,80,65,90,65,85,せいしんりょく,はやおき,そうしょく,41.5,0,0,2
138,204,クヌギダマ,むし,,50,65,90,35,35,15,がんじょう,,ぼうじん,7.2,0,0,2
139,205,フォレトス,むし,はがね,75,90,140,60,60,40,がんじょう,,ぼうじん,125.8,1,1,2
140,206,ノコッチ,ノーマル,,100,70,70,65,65,45,てんのめぐみ,にげあし,びびり,14,0,0,2
141,207,グライガー,じめん,ひこう,65,75,105,35,65,85,かいりきバサミ,すながくれ,めんえき,64.8,0,0,2
142,211_1,ハリーセン(通常),みず,どく,65,95,85,55,55,85,どくのトゲ,すいすい,いかく,3.9,0,0,2
143,211_2,ハリーセン(ヒスイ),あく,どく,65,95,85,55,55,85,どくのトゲ,すいすい,いかく,3.9,0,0,8.5
144,212,ハッサム,むし,はがね,70,130,100,55,80,65,むしのしらせ,テクニシャン,ライトメタル,118,4,4,2
145,214,ヘラクロス,むし,かくとう,80,125,75,40,95,85,むしのしらせ,こんじょう,じしんかじょう,54,1,1,2
146,215_1,ニューラ(通常),あく,こおり,55,95,55,35,75,115,せいしんりょく,するどいめ,わるいてぐせ,28,0,0,2
147,215_2,ニューラ(ヒスイ),かくとう,どく,55,95,55,35,75,115,せいしんりょく,するどいめ,わるいてぐせ,27,0,0,8.5
148,216,ヒメグマ,ノーマル,,60,80,50,50,50,40,ものひろい,はやあし,みつあつめ,8.8,0,0,2
149,217,リングマ,ノーマル,,90,130,75,75,75,55,こんじょう,はやあし,きんちょうかん,125.8,1,1,2
150,218,マグマッグ,ほのお,,40,40,40,70,40,20,マグマのよろい,ほのおのからだ,くだけるよろい,35,0,0,2
151,219,マグカルゴ,ほのお,いわ,60,50,120,90,80,30,マグマのよろい,ほのおのからだ,くだけるよろい,55,1,1,2
152,220,ウリムー,こおり,じめん,50,50,40,30,30,50,どんかん,ゆきがくれ,あついしぼう,6.5,0,0,2
153,221,イノムー,こおり,じめん,100,100,80,60,60,50,どんかん,ゆきがくれ,あついしぼう,55.8,0,0,2
154,225,デリバード,こおり,ひこう,45,55,45,65,45,75,やるき,はりきり,ふみん,16,1,1,2
155,228,デルビル,あく,ほのお,45,60,30,80,50,65,はやおき,もらいび,きんちょうかん,10.8,0,0,2
156,229,ヘルガー,あく,ほのお,75,90,50,110,80,95,はやおき,もらいび,きんちょうかん,35,1,1,2
157,231,ゴマゾウ,じめん,,90,60,60,40,40,40,ものひろい,,すながくれ,33.5,0,0,2
158,232,ドンファン,じめん,,90,120,120,60,60,50,がんじょう,,すながくれ,120,1,1,2
159,234,オドシシ,ノーマル,,73,95,62,85,65,85,いかく,おみとおし,そうしょく,71.2,1,1,2
160,242,ハピナス,ノーマル,,255,10,10,75,135,55,しぜんかいふく,てんのめぐみ,いやしのこころ,46.8,3,2,2
161,246,ヨーギラス,いわ,じめん,50,64,50,45,50,41,こんじょう,,すながくれ,72,0,0,2
162,247,サナギラス,いわ,じめん,70,84,70,65,70,51,だっぴ,,,152,0,0,2
163,248,バンギラス,いわ,あく,100,134,110,95,100,61,すなおこし,,きんちょうかん,202,4,4,2
164,261,ポチエナ,あく,,35,55,35,30,30,35,にげあし,はやあし,びびり,13.6,0,0,3
165,262,グラエナ,あく,,70,90,70,60,60,70,いかく,はやあし,じしんかじょう,37,1,1,3
166,270,ハスボー,みず,くさ,40,30,30,40,50,30,すいすい,あめうけざら,マイペース,2.6,0,0,3
167,271,ハスブレロ,みず,くさ,60,50,50,60,70,50,すいすい,あめうけざら,マイペース,32.5,0,0,3
168,272,ルンパッパ,みず,くさ,80,70,70,90,100,70,すいすい,あめうけざら,マイペース,55,2,3,3
169,273,タネボー,くさ,,40,40,50,30,30,30,ようりょくそ,はやおき,わるいてぐせ,4,0,0,3
170,274,コノハナ,くさ,あく,70,70,40,60,40,60,ようりょくそ,はやおき,わるいてぐせ,28,0,0,3
171,275,ダーテング,くさ,あく,90,100,60,90,60,80,ようりょくそ,かぜのり,わるいてぐせ,59.6,2,3,3
172,278,キャモメ,みず,ひこう,40,30,30,55,30,85,するどいめ,うるおいボディ,あめうけざら,9.5,0,0,3
173,279,ペリッパー,みず,ひこう,60,50,100,95,70,65,するどいめ,あめふらし,あめうけざら,28,3,3,3
174,280,ラルトス,エスパー,フェアリー,28,25,25,45,35,40,シンクロ,トレース,テレパシー,6.6,0,0,3
175,281,キルリア,エスパー,フェアリー,38,35,35,65,55,50,シンクロ,トレース,テレパシー,20.2,0,0,3
176,282,サーナイト,エスパー,フェアリー,68,65,65,125,115,80,シンクロ,トレース,テレパシー,48.4,3,2,3
177,283,アメタマ,むし,みず,40,30,32,50,52,65,すいすい,,あめうけざら,1.7,0,0,3
178,284,アメモース,むし,ひこう,70,60,62,100,82,80,いかく,,きんちょうかん,3.6,1,1,3
179,285,キノココ,くさ,,60,40,60,40,60,35,ほうし,ポイズンヒール,はやあし,4.5,0,0,3
180,286,キノガッサ,くさ,かくとう,60,130,80,60,60,70,ほうし,ポイズンヒール,テクニシャン,39.2,4,2,3
181,287,ナマケロ,ノーマル,,60,60,60,35,35,30,なまけ,,,24,0,0,3
182,288,ヤルキモノ,ノーマル,,80,80,80,55,55,90,やるき,,,46.5,0,0,3
183,289,ケッキング,ノーマル,,150,160,100,95,65,100,なまけ,,,130.5,1,3,3
184,296,マクノシタ,かくとう,,72,60,30,20,30,25,あついしぼう,こんじょう,ちからずく,86.4,0,0,3
185,297,ハリテヤマ,かくとう,,144,120,60,40,60,50,あついしぼう,こんじょう,ちからずく,253.8,1,1,3
186,298,ルリリ,ノーマル,フェアリー,50,20,40,20,40,20,あついしぼう,ちからもち,そうしょく,2,0,0,3
187,299,ノズパス,いわ,,30,45,135,45,90,30,がんじょう,じりょく,すなのちから,97,0,0,3
188,302,ヤミラミ,あく,ゴースト,50,75,75,65,65,50,するどいめ,あとだし,いたずらごころ,11,0,3,3
189,307,アサナン,かくとう,エスパー,30,40,55,40,55,60,ヨガパワー,,テレパシー,11.2,0,0,3
190,308,チャーレム,かくとう,エスパー,60,60,75,60,75,80,ヨガパワー,,テレパシー,31.5,1,1,3
191,313,バルビート,むし,,65,73,75,47,85,85,はっこう,むしのしらせ,いたずらごころ,17.7,2,2,3
192,314,イルミーゼ,むし,,65,47,75,73,85,85,どんかん,いろめがね,いたずらごころ,17.7,2,3,3
193,316,ゴクリン,どく,,70,43,53,43,53,40,ヘドロえき,ねんちゃく,くいしんぼう,10.3,0,0,3
194,317,マルノーム,どく,,100,73,83,73,83,55,ヘドロえき,ねんちゃく,くいしんぼう,80,1,1,3
195,322,ドンメル,ほのお,じめん,60,60,40,65,45,35,どんかん,たんじゅん,マイペース,24,0,0,3
196,323,バクーダ,ほのお,じめん,70,100,70,105,75,40,マグマのよろい,ハードロック,いかりのつぼ,220,1,1,3
197,324,コータス,ほのお,,70,85,140,85,70,20,しろいけむり,ひでり,シェルアーマー,80.4,3,4,3
198,325,バネブー,エスパー,,60,25,35,70,80,60,あついしぼう,マイペース,くいしんぼう,30.6,0,0,3
199,326,ブーピッグ,エスパー,,80,45,65,90,110,80,あついしぼう,マイペース,くいしんぼう,71.5,1,1,3
200,331,サボネア,くさ,,50,85,40,85,40,35,すながくれ,,ちょすい,51.3,0,0,3
201,332,ノクタス,くさ,あく,70,115,60,115,60,55,すながくれ,,ちょすい,77.4,1,1,3
202,333,チルット,ノーマル,ひこう,45,40,60,40,75,50,しぜんかいふく,,ノーてんき,1.2,0,0,3
203,334,チルタリス,ドラゴン,ひこう,75,70,90,70,105,80,しぜんかいふく,,ノーてんき,20.6,1,1,3
204,335,ザングース,ノーマル,,73,115,60,60,60,90,めんえき,,どくぼうそう,40.3,1,1,3
205,336,ハブネーク,どく,,73,100,60,100,60,65,だっぴ,,すりぬけ,52.5,1,1,3
206,339,ドジョッチ,みず,じめん,50,48,43,46,41,60,どんかん,きけんよち,うるおいボディ,1.9,0,0,3
207,340,ナマズン,みず,じめん,110,78,73,76,71,60,どんかん,きけんよち,うるおいボディ,23.6,1,1,3
208,341,ヘイガニ,みず,,43,80,65,50,35,35,かいりきバサミ,シェルアーマー,てきおうりょく,11.5,0,0,3
209,342,シザリガー,みず,あく,63,120,85,90,55,55,かいりきバサミ,シェルアーマー,てきおうりょく,32.8,1,1,3
210,349,ヒンバス,みず,,20,15,20,10,55,80,すいすい,どんかん,てきおうりょく,7.4,0,0,3
211,350,ミロカロス,みず,,95,60,79,100,125,81,ふしぎなうろこ,かちき,メロメロボディ,162,4,4,3
212,353,カゲボウズ,ゴースト,,44,75,35,63,33,45,ふみん,おみとおし,のろわれボディ,2.3,0,0,3
213,354,ジュペッタ,ゴースト,,64,115,65,83,63,65,ふみん,おみとおし,のろわれボディ,12.5,1,1,3
214,355,ヨマワル,ゴースト,,20,40,90,30,90,25,ふゆう,,おみとおし,15,0,0,3
215,356,サマヨール,ゴースト,,40,70,130,60,130,25,プレッシャー,,おみとおし,30.6,1,4,3
216,357,トロピウス,くさ,ひこう,99,68,83,72,87,51,ようりょくそ,サンパワー,しゅうかく,100,1,1,3
217,358,チリーン,エスパー,,75,50,80,95,90,65,ふゆう,,,1,1,1,3
218,361,ユキワラシ,こおり,,50,50,50,50,50,50,せいしんりょく,アイスボディ,ムラっけ,16.8,0,0,3
219,362,オニゴーリ,こおり,,80,80,80,80,80,80,せいしんりょく,アイスボディ,ムラっけ,256.5,1,1,3
220,370,ラブカス,みず,,43,30,55,40,65,97,すいすい,,うるおいボディ,8.7,0,0,3
221,371,タツベイ,ドラゴン,,45,75,60,40,30,50,いしあたま,,ちからずく,42.1,0,0,3
222,372,コモルー,ドラゴン,,65,95,100,60,50,50,いしあたま,,ぼうじん,110.5,0,0,3
223,373,ボーマンダ,ドラゴン,ひこう,95,135,80,110,80,100,いかく,,じしんかじょう,102.6,3,3,3
224,382,カイオーガ,みず,,100,100,90,150,140,90,あめふらし,,,352,0,0,3
225,383,グラードン,じめん,,100,150,140,100,90,90,ひでり,,,950,0,0,3
226,384,レックウザ,ドラゴン,ひこう,105,150,90,150,90,95,エアロック,,,206.5,0,0,3
227,385,ジラーチ,はがね,エスパー,100,100,100,100,100,100,てんのめぐみ,,,1.1,0,0,3
228,387,ナエトル,くさ,,55,68,64,45,55,31,しんりょく,,シェルアーマー,10.2,0,0,4
229,388,ハヤシガメ,くさ,,75,89,85,55,65,36,しんりょく,,シェルアーマー,97,0,0,4
230,389,ドダイトス,くさ,じめん,95,109,105,75,85,56,しんりょく,,シェルアーマー,310,3,2,4
231,390,ヒコザル,ほのお,,44,58,44,58,44,61,もうか,,てつのこぶし,6.2,0,0,4
232,391,モウカザル,ほのお,かくとう,64,78,52,78,52,81,もうか,,てつのこぶし,22,0,0,4
233,392,ゴウカザル,ほのお,かくとう,76,104,71,104,71,108,もうか,,てつのこぶし,55,3,3,4
234,393,ポッチャマ,みず,,53,51,53,61,56,40,げきりゅう,,かちき,5.2,0,0,4
235,394,ポッタイシ,みず,,64,66,68,81,76,50,げきりゅう,,かちき,23,0,0,4
236,395,エンペルト,みず,はがね,84,86,88,111,101,60,げきりゅう,,かちき,84.5,4,4,4
237,396,ムックル,ノーマル,ひこう,40,55,30,30,30,60,するどいめ,,すてみ,2,0,0,4
238,397,ムクバード,ノーマル,ひこう,55,75,50,40,40,80,いかく,,すてみ,15.5,0,0,4
239,398,ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,いかく,,すてみ,24.9,2,2,4
240,401,コロボーシ,むし,,37,25,41,25,41,25,だっぴ,,にげあし,2.2,0,0,4
241,402,コロトック,むし,,77,85,51,55,51,65,むしのしらせ,,テクニシャン,25.5,1,1,4
242,403,コリンク,でんき,,45,65,34,40,34,45,とうそうしん,いかく,こんじょう,9.5,0,0,4
243,404,ルクシオ,でんき,,60,85,49,60,49,60,とうそうしん,いかく,こんじょう,30.5,0,0,4
244,405,レントラー,でんき,,80,120,79,95,79,70,とうそうしん,いかく,こんじょう,42,1,1,4
